local_student_id	site_id	grading_period_name	academic_year	local_section_id	school_course_id	corrected_grade	max_credits	credits_received	is_final?	is_repeat?	session_type_id
30454	1	Final Grade	2018	79908	C420	C+	1	1	1	0	1
30454	1	Final Grade	2018	2018RAINI165ExpedPMJoh	I267	P	1	1	1	0	1
30454	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	A-	1	1	1	0	1
30455	1	Final Grade	2018	79864	A400	C	1	1	1	0	1
30455	1	Final Grade	2018	79878	C420	B-	1	1	1	0	1
30455	1	Final Grade	2018	79881	B400	A-	1	1	1	0	1
30455	1	Final Grade	2018	79904	D430	B-	1	1	1	0	1
30455	1	Final Grade	2018	2018RAINI199ExpedAMDeO	G199	A-	1	1	1	0	1
30455	1	Final Grade	2018	2018RAINI305ExpedPMThi	I305	P	1	1	1	0	1
30456	1	Final Grade	2018	79841	C400	C	1	1	1	0	1
30456	1	Final Grade	2018	79864	A400	C	1	1	1	0	1
30456	1	Final Grade	2018	79878	C420	C	1	1	1	0	1
30456	1	Final Grade	2018	79881	B400	B+	1	1	1	0	1
30456	1	Final Grade	2018	79904	D430	C	1	1	1	0	1
30456	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30459	1	Final Grade	2018	79819	A400	C-	1	1	1	0	1
30459	1	Final Grade	2018	79824	C420	C-	1	1	1	0	1
30459	1	Final Grade	2018	79887	D430	C-	1	1	1	0	1
30459	1	Final Grade	2018	79890	B400	C	1	1	1	0	1
30459	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	B-	1	1	1	0	1
30459	1	Final Grade	2018	83065	I1103	P	1	1	1	0	1
30461	1	Final Grade	2018	79819	A400	A	1	1	1	0	1
30461	1	Final Grade	2018	79887	D430	A-	1	1	1	0	1
30461	1	Final Grade	2018	79890	B400	A+	1	1	1	0	1
30461	1	Final Grade	2018	79908	C420	B+	1	1	1	0	1
30461	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30462	1	Final Grade	2018	79824	C420	A	1	1	1	0	1
30462	1	Final Grade	2018	79839	A400	A-	1	1	1	0	1
30462	1	Final Grade	2018	79870	B400	A+	1	1	1	0	1
30462	1	Final Grade	2018	79888	D430	A	1	1	1	0	1
30462	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30463	1	Final Grade	2018	79819	A400	A-	1	1	1	0	1
30463	1	Final Grade	2018	79887	D430	A-	1	1	1	0	1
30463	1	Final Grade	2018	79890	B400	A+	1	1	1	0	1
30463	1	Final Grade	2018	79891	C400	A-	1	1	1	0	1
30463	1	Final Grade	2018	79908	C420	B+	1	1	1	0	1
30463	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30465	1	Final Grade	2018	79819	A400	A-	1	1	1	0	1
30465	1	Final Grade	2018	79881	B400	A+	1	1	1	0	1
30465	1	Final Grade	2018	79888	D430	A	1	1	1	0	1
30465	1	Final Grade	2018	79908	C420	A-	1	1	1	0	1
30465	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30466	1	Final Grade	2018	79864	A400	C	1	1	1	0	1
30466	1	Final Grade	2018	79870	B400	A-	1	1	1	0	1
30466	1	Final Grade	2018	79904	D430	C	1	1	1	0	1
30466	1	Final Grade	2018	2018RAINI199ExpedAMDeO	G199	B+	1	1	1	0	1
30466	1	Final Grade	2018	2018RAINF502ExpedPMRom	F502	A-	1	1	1	0	1
30467	1	Final Grade	2018	79841	C400	A-	1	1	1	0	1
30467	1	Final Grade	2018	79864	A400	A-	1	1	1	0	1
30467	1	Final Grade	2018	79878	C420	A	1	1	1	0	1
30467	1	Final Grade	2018	79881	B400	A+	1	1	1	0	1
30467	1	Final Grade	2018	79888	D430	A+	1	1	1	0	1
30467	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30468	1	Final Grade	2018	79824	C420	C+	1	1	1	0	1
30468	1	Final Grade	2018	79839	A400	C-	1	1	1	0	1
30468	1	Final Grade	2018	79890	B400	B-	1	1	1	0	1
30468	1	Final Grade	2018	79898	E400	F	1	0	1	0	1
30468	1	Final Grade	2018	79904	D430	C	1	1	1	0	1
30468	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	B+	1	1	1	0	1
30468	1	Final Grade	2018	2018RAINI305ExpedPMThi	I305	P	1	1	1	0	1
30469	1	Final Grade	2018	79819	A400	B+	1	1	1	0	1
30469	1	Final Grade	2018	79824	C420	B	1	1	1	0	1
30469	1	Final Grade	2018	79887	D430	A-	1	1	1	0	1
30469	1	Final Grade	2018	79890	B400	A-	1	1	1	0	1
30469	1	Final Grade	2018	79891	C400	B	1	1	1	0	1
30469	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30473	1	Final Grade	2018	79819	A400	C+	1	1	1	0	1
30473	1	Final Grade	2018	79824	C420	B-	1	1	1	0	1
30473	1	Final Grade	2018	79890	B400	A-	1	1	1	0	1
30473	1	Final Grade	2018	79899	E300	A	1	1	1	0	1
30473	1	Final Grade	2018	79904	D430	A-	1	1	1	0	1
30473	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30476	1	Final Grade	2018	79819	A400	A+	1	1	1	0	1
30476	1	Final Grade	2018	79881	B400	A+	1	1	1	0	1
30476	1	Final Grade	2018	79888	D430	A+	1	1	1	0	1
30476	1	Final Grade	2018	79908	C420	A+	1	1	1	0	1
30476	1	Final Grade	2018	2018RAINI199ExpedAMDeO	G199	A	1	1	1	0	1
30476	1	Final Grade	2018	2018RAINI305ExpedPMThi	I305	P	1	1	1	0	1
30477	1	Final Grade	2018	79819	A400	B	1	1	1	0	1
30477	1	Final Grade	2018	79824	C420	B-	1	1	1	0	1
30477	1	Final Grade	2018	79881	B400	A	1	1	1	0	1
30477	1	Final Grade	2018	79904	D430	B+	1	1	1	0	1
30477	1	Final Grade	2018	2018RAINI022ExpedPMCal	G022	A+	1	1	1	0	1
30477	1	Final Grade	2018	83064	I1103	P	1	1	1	0	1
30478	1	Final Grade	2018	79839	A400	C	1	1	1	0	1
30478	1	Final Grade	2018	79878	C420	C	1	1	1	0	1
30478	1	Final Grade	2018	79887	D430	B-	1	1	1	0	1
30478	1	Final Grade	2018	79890	B400	B	1	1	1	0	1
30478	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30481	1	Final Grade	2018	79825	E400	A-	1	1	1	0	1
30481	1	Final Grade	2018	79839	A400	A	1	1	1	0	1
30481	1	Final Grade	2018	79841	C400	A	1	1	1	0	1
30481	1	Final Grade	2018	79870	B400	A+	1	1	1	0	1
30481	1	Final Grade	2018	79888	D430	A	1	1	1	0	1
30481	1	Final Grade	2018	79908	C420	A	1	1	1	0	1
30481	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30487	1	Final Grade	2018	79819	A400	C+	1	1	1	0	1
30487	1	Final Grade	2018	79824	C420	C+	1	1	1	0	1
30487	1	Final Grade	2018	79890	B400	B+	1	1	1	0	1
30487	1	Final Grade	2018	79891	C400	C+	1	1	1	0	1
30487	1	Final Grade	2018	79904	D430	B-	1	1	1	0	1
30487	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	A-	1	1	1	0	1
30487	1	Final Grade	2018	2018RAINI022ExpedPMCal	G022	A+	1	1	1	0	1
30488	1	Final Grade	2018	79819	A400	C-	1	1	1	0	1
30488	1	Final Grade	2018	79881	B400	B-	1	1	1	0	1
30488	1	Final Grade	2018	79888	D430	C-	1	1	1	0	1
30488	1	Final Grade	2018	79908	C420	C	1	1	1	0	1
30488	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30489	1	Final Grade	2018	79839	A400	C	1	1	1	0	1
30489	1	Final Grade	2018	79878	C420	C	1	1	1	0	1
30489	1	Final Grade	2018	79887	D430	C-	1	1	1	0	1
30489	1	Final Grade	2018	79890	B400	B+	1	1	1	0	1
30489	1	Final Grade	2018	2018RAINI305ExpedPMThi	I305	P	1	1	1	0	1
30489	1	Final Grade	2018	82658	I1106CR	P	1	1	1	0	1
30490	1	Final Grade	2018	79819	A400	A-	1	1	1	0	1
30490	1	Final Grade	2018	79881	B400	A+	1	1	1	0	1
30490	1	Final Grade	2018	79887	D430	A	1	1	1	0	1
30490	1	Final Grade	2018	79908	C420	A	1	1	1	0	1
30490	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30492	1	Final Grade	2018	79841	C400	C+	1	1	1	0	1
30492	1	Final Grade	2018	79864	A400	B-	1	1	1	0	1
30492	1	Final Grade	2018	79890	B400	A+	1	1	1	0	1
30492	1	Final Grade	2018	79904	D430	C+	1	1	1	0	1
30493	1	Final Grade	2018	79824	C420	B+	1	1	1	0	1
30493	1	Final Grade	2018	79839	A400	B	1	1	1	0	1
30493	1	Final Grade	2018	79841	C400	B	1	1	1	0	1
30493	1	Final Grade	2018	79870	B400	A	1	1	1	0	1
30493	1	Final Grade	2018	79904	D430	A-	1	1	1	0	1
30493	1	Final Grade	2018	2018RAINF512ExpedAMCal	F512	A+	1	1	1	0	1
30493	1	Final Grade	2018	2018RAINI305ExpedPMThi	I305	P	1	1	1	0	1
30495	1	Final Grade	2018	79824	C420	C	1	1	1	0	1
30495	1	Final Grade	2018	79839	A400	C	1	1	1	0	1
30495	1	Final Grade	2018	79841	C400	B-	1	1	1	0	1
30495	1	Final Grade	2018	79870	B400	B-	1	1	1	0	1
30495	1	Final Grade	2018	79888	D430	B-	1	1	1	0	1
30495	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	A+	1	1	1	0	1
30495	1	Final Grade	2018	2018RAINI022ExpedPMCal	G022	A	1	1	1	0	1
30496	1	Final Grade	2018	79824	C420	A	1	1	1	0	1
30496	1	Final Grade	2018	79839	A400	A-	1	1	1	0	1
30496	1	Final Grade	2018	79890	B400	A+	1	1	1	0	1
30496	1	Final Grade	2018	79898	E400	A	1	1	1	0	1
30496	1	Final Grade	2018	79904	D430	A+	1	1	1	0	1
30496	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30497	1	Final Grade	2018	79819	A400	F	1	0	1	0	1
30497	1	Final Grade	2018	79824	C420	F	1	0	1	0	1
30497	1	Final Grade	2018	79881	B400	F	1	0	1	0	1
30497	1	Final Grade	2018	79888	D430	F	1	0	1	0	1
30497	1	Final Grade	2018	2018RAINF512ExpedAMCal	F512	F	1	0	1	0	1
30497	1	Final Grade	2018	2018RAINF563ExpedPMDeO	G299	F	1	0	1	0	1
30498	1	Final Grade	2018	79864	A400	B	1	1	1	0	1
30498	1	Final Grade	2018	79878	C420	B+	1	1	1	0	1
30498	1	Final Grade	2018	79881	B400	A	1	1	1	0	1
30498	1	Final Grade	2018	79904	D430	A-	1	1	1	0	1
30498	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	A+	1	1	1	0	1
30498	1	Final Grade	2018	83065	I1103	P	1	1	1	0	1
30500	1	Final Grade	2018	79864	A400	A-	1	1	1	0	1
30500	1	Final Grade	2018	79870	B400	A+	1	1	1	0	1
30500	1	Final Grade	2018	79887	D430	A	1	1	1	0	1
30500	1	Final Grade	2018	79908	C420	A	1	1	1	0	1
30500	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30505	1	Final Grade	2018	79864	A400	A	1	1	1	0	1
30505	1	Final Grade	2018	79878	C420	A	1	1	1	0	1
30505	1	Final Grade	2018	79890	B400	A+	1	1	1	0	1
30505	1	Final Grade	2018	79904	D430	A	1	1	1	0	1
30505	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30506	1	Final Grade	2018	79839	A400	C-	1	1	1	0	1
30506	1	Final Grade	2018	79870	B400	C+	1	1	1	0	1
30506	1	Final Grade	2018	79888	D430	F	1	0	1	0	1
30506	1	Final Grade	2018	79908	C420	C-	1	1	1	0	1
30512	1	Final Grade	2018	79819	A400	F	1	0	1	0	1
30512	1	Final Grade	2018	79824	C420	F	1	0	1	0	1
30512	1	Final Grade	2018	79844	E200	F	1	0	1	0	1
30512	1	Final Grade	2018	79881	B400	F	1	0	1	0	1
30512	1	Final Grade	2018	79904	D430	F	1	0	1	0	1
30512	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	NP	1	0	1	0	1
30513	1	Final Grade	2018	79819	A400	C	1	1	1	0	1
30513	1	Final Grade	2018	79824	C420	C+	1	1	1	0	1
30513	1	Final Grade	2018	79841	C400	C+	1	1	1	0	1
30513	1	Final Grade	2018	79881	B400	B+	1	1	1	0	1
30513	1	Final Grade	2018	79888	D430	C	1	1	1	0	1
30513	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30515	1	Final Grade	2018	79839	A400	C+	1	1	1	0	1
30515	1	Final Grade	2018	79870	B400	A-	1	1	1	0	1
30515	1	Final Grade	2018	79887	D430	B	1	1	1	0	1
30515	1	Final Grade	2018	79908	C420	B	1	1	1	0	1
30515	1	Final Grade	2018	2018RAINI207ExpedAMNel	F511	B	1	1	1	0	1
30515	1	Final Grade	2018	83065	I1103	P	1	1	1	0	1
30517	1	Final Grade	2018	79825	E400	B	1	1	1	0	1
30517	1	Final Grade	2018	79839	A400	B-	1	1	1	0	1
30517	1	Final Grade	2018	79870	B400	A	1	1	1	0	1
30517	1	Final Grade	2018	79887	D430	B	1	1	1	0	1
30517	1	Final Grade	2018	79908	C420	B-	1	1	1	0	1
30517	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30521	1	Final Grade	2018	79839	A400	C+	1	1	1	0	1
30521	1	Final Grade	2018	79878	C420	C+	1	1	1	0	1
30521	1	Final Grade	2018	79890	B400	B	1	1	1	0	1
30521	1	Final Grade	2018	79904	D430	B	1	1	1	0	1
30521	1	Final Grade	2018	2018RAINI106ExpedAMWit	I106	P	1	1	1	0	1
30522	1	Final Grade	2018	79844	E200	B	1	1	1	0	1
30522	1	Final Grade	2018	79864	A400	C-	1	1	1	0	1
30522	1	Final Grade	2018	79870	B400	B+	1	1	1	0	1
30522	1	Final Grade	2018	79888	D430	B	1	1	1	0	1
30522	1	Final Grade	2018	79908	C420	C	1	1	1	0	1
30522	1	Final Grade	2018	2018RAINI139ExpedAMWit	I139	P	1	1	1	0	1
30529	1	Final Grade	2018	81272	D430M	F	1	0	1	0	1
30529	1	Final Grade	2018	81273	B400M	C+	1	1	1	0	1
30529	1	Final Grade	2018	81278	A400M	C-	1	1	1	0	1
30529	1	Final Grade	2018	2018RAINI199ExpedAMDeO	G199	F	1	0	1	0	1
30529	1	Final Grade	2018	83065	I1103	F	1	0	1	0	1
30531	1	Final Grade	2018	79825	E400	B	1	1	1	0	1
30531	1	Final Grade	2018	79839	A400	B-	1	1	1	0	1
30531	1	Final Grade	2018	79841	C400	C+	1	1	1	0	1
30531	1	Final Grade	2018	79870	B400	A-	1	1	1	0	1
30531	1	Final Grade	2018	79904	D430	B-	1	1	1	0	1
30531	1	Final Grade	2018	2018RAINI199ExpedAMDeO	G199	A	1	1	1	0	1
30531	1	Final Grade	2018	83065	I1103	P	1	1	1	0	1
30533	1	Final Grade	2018	79827	D200	F	1	0	1	0	1
30533	1	Final Grade	2018	79835	C320	I	1	0	1	0	1
30533	1	Final Grade	2018	79854	E200	F	1	0	1	0	1
30533	1	Final Grade	2018	79867	A300	F	1	0	1	0	1
30533	1	Final Grade	2018	79903	B300	F	1	0	1	0	1
30534	1	Final Grade	2018	79856	B300	A-	1	1	1	0	1
30534	1	Final Grade	2018	79867	A300	A-	1	1	1	0	1
30534	1	Final Grade	2018	79892	C320	A	1	1	1	0	1
30534	1	Final Grade	2018	79899	E300	A+	1	1	1	0	1
30534	1	Final Grade	2018	79981	D200	A-	1	1	1	0	1
30534	1	Final Grade	2018	2018RAINI165ExpedPMJoh	I267	P	1	1	1	0	1
30534	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30535	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30535	1	Final Grade	2018	2018RAINI202ExpedPMHes	I202	P	1	1	1	0	1
30535	1	Final Grade	2018	81995	A300M	A	1	1	1	0	1
30535	1	Final Grade	2018	81996	B300M	C	1	1	1	0	1
30535	1	Final Grade	2018	81997	E200M	C-	1	1	1	0	1
30535	1	Final Grade	2018	81998	C320M	C+	1	1	1	0	1
30537	1	Final Grade	2018	79820	A300	B-	1	1	1	0	1
30537	1	Final Grade	2018	79844	E200	C	1	1	1	0	1
30537	1	Final Grade	2018	79871	C320	B	1	1	1	0	1
30537	1	Final Grade	2018	79903	B300	B-	1	1	1	0	1
30537	1	Final Grade	2018	2018RAINI136ExpedPMBet	I136	P	1	1	1	0	1
30537	1	Final Grade	2018	2018RAINF562ExpedAMJoh	F562	B+	1	1	1	0	1
30538	1	Final Grade	2018	79820	A300	A	1	1	1	0	1
30538	1	Final Grade	2018	79821	E300	A+	1	1	1	0	1
30538	1	Final Grade	2018	79838	B300	A	1	1	1	0	1
30538	1	Final Grade	2018	79841	C400	A	1	1	1	0	1
30538	1	Final Grade	2018	79981	D200	A	1	1	1	0	1
30538	1	Final Grade	2018	2018RAINI136ExpedAMBet	I136	P	1	1	1	0	1
30538	1	Final Grade	2018	83065	I1103	P	1	1	1	0	1
30541	1	Final Grade	2018	79827	D200	B-	1	1	1	0	1
30541	1	Final Grade	2018	79892	C320	B+	1	1	1	0	1
30541	1	Final Grade	2018	79899	E300	B-	1	1	1	0	1
30541	1	Final Grade	2018	79901	B300	B	1	1	1	0	1
30541	1	Final Grade	2018	79906	A300	B	1	1	1	0	1
30541	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30541	1	Final Grade	2018	2018RAINF563ExpedPMDeO	G299	B+	1	1	1	0	1
30542	1	Final Grade	2018	79856	B300	B+	1	1	1	0	1
30542	1	Final Grade	2018	79875	C320	A+	1	1	1	0	1
30542	1	Final Grade	2018	79898	E400	A-	1	1	1	0	1
30542	1	Final Grade	2018	79906	A300	A	1	1	1	0	1
30542	1	Final Grade	2018	79981	D200	A-	1	1	1	0	1
30542	1	Final Grade	2018	2018RAINF503ExpedPMRom	F503	A+	1	1	1	0	1
30542	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30543	1	Final Grade	2018	79820	A300	C-	1	1	1	0	1
30543	1	Final Grade	2018	79848	E100	I	1	0	1	0	1
30543	1	Final Grade	2018	79875	C320	I	1	0	1	0	1
30543	1	Final Grade	2018	79903	B300	I	1	0	1	0	1
30543	1	Final Grade	2018	2018RAINF503ExpedPMRom	F503	F	1	0	1	0	1
30543	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	F	1	0	1	0	1
30544	1	Final Grade	2018	79861	D200	B	1	1	1	0	1
30544	1	Final Grade	2018	79871	C320	B-	1	1	1	0	1
30544	1	Final Grade	2018	79884	A300	B-	1	1	1	0	1
30544	1	Final Grade	2018	79898	E400	B	1	1	1	0	1
30544	1	Final Grade	2018	79901	B300	C	1	1	1	0	1
30544	1	Final Grade	2018	2018RAINI307ExpedAMNel	I307	P	1	1	1	0	1
30544	1	Final Grade	2018	2018RAINI136ExpedPMThi	I136	P	1	1	1	0	1
30545	1	Final Grade	2018	79822	E300	A+	1	1	1	0	1
30545	1	Final Grade	2018	79838	B300	A	1	1	1	0	1
30545	1	Final Grade	2018	79884	A300	A	1	1	1	0	1
30545	1	Final Grade	2018	79892	C320	A+	1	1	1	0	1
30545	1	Final Grade	2018	79981	D200	A+	1	1	1	0	1
30545	1	Final Grade	2018	2018RAINI165ExpedPMJoh	I267	P	1	1	1	0	1
30545	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30546	1	Final Grade	2018	79825	E400	A+	1	1	1	0	1
30546	1	Final Grade	2018	79838	B300	A	1	1	1	0	1
30546	1	Final Grade	2018	79861	D200	A+	1	1	1	0	1
30546	1	Final Grade	2018	79884	A300	A+	1	1	1	0	1
30546	1	Final Grade	2018	79891	C400	A+	1	1	1	0	1
30546	1	Final Grade	2018	2018RAINI165ExpedPMJoh	I267	P	1	1	1	0	1
30546	1	Final Grade	2018	2018RAINI136ExpedAMBet	I136	P	1	1	1	0	1
30547	1	Final Grade	2018	79822	E300	I	1	0	1	0	1
30547	1	Final Grade	2018	79861	D200	C+	1	1	1	0	1
30547	1	Final Grade	2018	79867	A300	B-	1	1	1	0	1
30547	1	Final Grade	2018	79875	C320	C	1	1	1	0	1
30547	1	Final Grade	2018	79901	B300	B-	1	1	1	0	1
30547	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	A-	1	1	1	0	1
30547	1	Final Grade	2018	2018RAINI136ExpedPMThi	I136	P	1	1	1	0	1
30548	1	Final Grade	2018	79820	A300	C+	1	1	1	0	1
30548	1	Final Grade	2018	79871	C320	B-	1	1	1	0	1
30548	1	Final Grade	2018	79899	E300	B+	1	1	1	0	1
30548	1	Final Grade	2018	79903	B300	C+	1	1	1	0	1
30548	1	Final Grade	2018	79981	D200	B-	1	1	1	0	1
30548	1	Final Grade	2018	2018RAINI136ExpedPMBet	I136	P	1	1	1	0	1
30548	1	Final Grade	2018	2018RAING102ExpedAMThi	G102	B+	1	1	1	0	1
30549	1	Final Grade	2018	79837	C220	I	1	0	1	0	1
30549	1	Final Grade	2018	79844	E200	C+	1	1	1	0	1
30549	1	Final Grade	2018	79856	B300	C	1	1	1	0	1
30549	1	Final Grade	2018	79906	A300	C+	1	1	1	0	1
30549	1	Final Grade	2018	2018RAINI207ExpedPMNel	F511	C-	1	1	1	0	1
30549	1	Final Grade	2018	2018RAINI136ExpedAMBet	I136	P	1	1	1	0	1
30550	1	Final Grade	2018	79822	E300	A+	1	1	1	0	1
30550	1	Final Grade	2018	79838	B300	A-	1	1	1	0	1
30550	1	Final Grade	2018	79884	A300	A	1	1	1	0	1
30550	1	Final Grade	2018	79892	C320	A+	1	1	1	0	1
30550	1	Final Grade	2018	79981	D200	A-	1	1	1	0	1
30550	1	Final Grade	2018	2018RAINF503ExpedPMRom	F503	C-	1	1	1	0	1
30550	1	Final Grade	2018	2018RAINI136ExpedAMBet	I136	P	1	1	1	0	1
30551	1	Final Grade	2018	79820	A300	B	1	1	1	0	1
30551	1	Final Grade	2018	79838	B300	B	1	1	1	0	1
30551	1	Final Grade	2018	79842	D200	A-	1	1	1	0	1
30551	1	Final Grade	2018	79860	E200	A-	1	1	1	0	1
30551	1	Final Grade	2018	79871	C320	A-	1	1	1	0	1
30551	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30551	1	Final Grade	2018	2018RAINI202ExpedPMHes	I202	P	1	1	1	0	1
30552	1	Final Grade	2018	79827	D200	B	1	1	1	0	1
30552	1	Final Grade	2018	79871	C320	B	1	1	1	0	1
30552	1	Final Grade	2018	79884	A300	B	1	1	1	0	1
30552	1	Final Grade	2018	79898	E400	B	1	1	1	0	1
30552	1	Final Grade	2018	79901	B300	B-	1	1	1	0	1
30552	1	Final Grade	2018	2018RAINI165ExpedPMJoh	I267	P	1	1	1	0	1
30552	1	Final Grade	2018	2018RAINI136ExpedAMBet	I136	P	1	1	1	0	1
30553	1	Final Grade	2018	79827	D200	A	1	1	1	0	1
30553	1	Final Grade	2018	79835	C320	A-	1	1	1	0	1
30553	1	Final Grade	2018	79838	B300	A-	1	1	1	0	1
30553	1	Final Grade	2018	79899	E300	A+	1	1	1	0	1
30553	1	Final Grade	2018	79906	A300	A+	1	1	1	0	1
30553	1	Final Grade	2018	2018RAINI200ExpedAMDeO	G200	A	1	1	1	0	1
30553	1	Final Grade	2018	2018RAINI136ExpedPMBet	I136	P	1	1	1	0	1
30554	1	Final Grade	2018	79835	C320	A-	1	1	1	0	1
30554	1	Final Grade	2018	79842	D200	A	1	1	1	0	1
30554	1	Final Grade	2018	79856	B300	A	1	1	1	0	1
30554	1	Final Grade	2018	79898	E400	I	1	0	1	0	1
30554	1	Final Grade	2018	79906	A300	B+	1	1	1	0	1
30554	1	Final Grade	2018	2018RAINF512ExpedAMCal	F512	A+	1	1	1	0	1
30554	1	Final Grade	2018	2018RAINI136ExpedPMThi	I136	P	1	1	1	0	1
30556	1	Final Grade	2018	79820	A300	C+	1	1	1	0	1
30556	1	Final Grade	2018	79838	B300	B-	1	1	1	0	1
30556	1	Final Grade	2018	79842	D200	C+	1	1	1	0	1
30556	1	Final Grade	2018	79854	E200	C+	1	1	1	0	1
30556	1	Final Grade	2018	79892	C320	C	1	1	1	0	1
30556	1	Final Grade	2018	2018RAINI165ExpedPMJoh	I267	P	1	1	1	0	1
30556	1	Final Grade	2018	2018RAINI136ExpedAMThi	I136	P	1	1	1	0	1
30559	1	Final Grade	2018	79856	B300	B	1	1	1	0	1
30559	1	Final Grade	2018	79861	D200	A-	1	1	1	0	1
30559	1	Final Grade	2018	79867	A300	A-	1	1	1	0	1
30559	1	Final Grade	2018	79891	C400	B-	1	1	1	0	1
30559	1	Final Grade	2018	79899	E300	A	1	1	1	0	1
30559	1	Final Grade	2018	2018RAINF512ExpedAMCal	F512	A+	1	1	1	0	1
30559	1	Final Grade	2018	2018RAINI136ExpedPMThi	I136	P	1	1	1	0	1
30560	1	Final Grade	2018	79821	E300	A+	1	1	1	0	1
30560	1	Final Grade	2018	79827	D200	A	1	1	1	0	1
30560	1	Final Grade	2018	79841	C400	A	1	1	1	0	1
