corrected_grade,COURSE_NAME,COURSE_NUMBER,date_of_pull,grade_type,inc_reason,LETTER_GRADE,SIS_SECTION_ID,stu_crs_lookup,STUDENT_ID,Max. ADDL_EXPECTED_PCNT,Max. COG_SKILL_PCNT,Max. CONCEPT_PCNT,Max. NUM_PROJECTS_OVERDUE,Max. OVERALL_SCORE,Max. POWER_EXPECTED_PCNT
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7524,110002 H144,110002,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110002 I199,110002,100,,,0,,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7285,110004 A400,110004,100,98,,0,99,100
B,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7186,110004 B400,110004,100,78,,0,85,100
B,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7241,110004 C400,110004,0,,90,0,84,100
B,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7238,110004 D430,110004,16,87,,0,83,100
I,AP Computer Science Principles,G104,1/15/2019 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[X],I,7255,110004 G104,110004,100,97,,1,97,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7474,110004 H144,110004,,,,0,,
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110004 I199,110004,100,,,0,,100
A,SI-Bridge to College,S4100,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7649,110004 S4100,110004,100,93,96,0,96,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7285,110005 A400,110005,100,100,,0,100,100
A,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7186,110005 B400,110005,100,90,,0,93,100
A-,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7185,110005 C400,110005,33,,97,0,92,100
B+,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,7247,110005 D430,110005,100,81,,0,87,100
A+,AP Computer Science Principles,G104,1/15/2019 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7255,110005 G104,110005,100,100,,0,100,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7474,110005 H144,110005,,,,0,,
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110005 I199,110005,100,,,0,,100
NO GRADE,SI- Basketball & Athletic Leadership (Semester 2),I1031,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7216,110005 I1031,110005,100,,,0,,100
B-,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,7193,110007 A400,110007,100,74,,0,82,100
C,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,7311,110007 B400,110007,50,71,,0,75,100
I,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[X] Ovrdue Proj?[_],I,7243,110007 D430,110007,0,66,,0,67,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7522,110007 H144,110007,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7522,110007 H144,110007,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110007 I199,110007,100,,,0,,100
NO GRADE,SI-Yoga (E),I1047,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7907,110007 I1047,110007,,,,0,,
NO GRADE,SI - Chamber Choir S2,I1071,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7896,110007 I1071,110007,100,,,0,,100
I,SI-Bridge to College,S4100,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[X],I,7652,110007 S4100,110007,100,81,,1,91,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7193,110008 A400,110008,100,100,,0,100,100
A+,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7311,110008 B400,110008,100,95,,0,97,100
A+,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7199,110008 C400,110008,100,,100,0,100,100
A+,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7238,110008 D430,110008,100,98,,0,99,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7474,110008 H144,110008,,,,0,,
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110008 I199,110008,100,,,0,,100
P,SI-Student Government & Leadership,I1062,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7318,110008 I1062,110008,100,100,,0,100,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7193,110010 A400,110010,100,100,,0,100,100
A+,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7311,110010 B400,110010,100,95,,0,97,100
A,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7199,110010 C400,110010,33,,100,0,94,100
A,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7243,110010 D430,110010,83,93,,0,94,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7522,110010 H144,110010,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7522,110010 H144,110010,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110010 I199,110010,100,,,0,,100
NO GRADE,SI-Words & Stories: Creative Writing,I1046,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7901,110010 I1046,110010,100,,,0,,100
P,SI-History & Culture in Film,I1072,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7892,110010 I1072,110010,100,100,,0,100,100
B-,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B-,7210,110011 A400,110011,0,84,,0,80,100
B,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7187,110011 B400,110011,100,78,,0,85,100
C-,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C-,7204,110011 C400,110011,0,,73,0,72,100
B,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7202,110011 D430,110011,83,80,,0,85,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7522,110011 H144,110011,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7522,110011 H144,110011,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110011 I199,110011,100,,,0,,100
P,SI-Theater & Performance,I1021,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7904,110011 I1021,110011,100,99,,0,99,100
NO GRADE,Strength and Fitness SI,I1064,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7895,110011 I1064,110011,100,,,0,,100
A,SI-Bridge to College,S4100,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7649,110011 S4100,110011,100,93,89,0,94,100
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7210,110012 A400,110012,100,100,,0,100,100
A,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7186,110012 B400,110012,100,90,,0,93,100
A-,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7199,110012 C400,110012,0,,100,0,91,100
A,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7238,110012 D430,110012,83,96,,0,96,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7522,110012 H144,110012,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7522,110012 H144,110012,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110012 I199,110012,100,,,0,,100
NO GRADE,SI-Marks & Layers: 2D/3D Visual Art,I1022,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7905,110012 I1022,110012,100,,,0,,100
NO GRADE,Hip Hop and Movement S2,I1026,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7280,110012 I1026,110012,,,,0,,
P,SI-History & Culture in Film,I1072,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7892,110012 I1072,110012,100,100,,0,100,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7522,110014 H144,110014,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7522,110014 H144,110014,100,,,0,,100
NP,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7776,110014 I199,110014,100,,,0,,0
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7222,110015 A400,110015,100,99,,0,99,100
A-,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7274,110015 B400,110015,100,89,,0,92,100
B,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7241,110015 C400,110015,66,,82,0,84,100
A,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7238,110015 D430,110015,100,90,,0,93,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7487,110015 H144,110015,,,,0,,
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110015 I199,110015,100,,,0,,100
NO GRADE,Hip Hop and Movement S2,I1026,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7251,110015 I1026,110015,,,,0,,
NO GRADE,SI-Yoga (E),I1047,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7907,110015 I1047,110015,,,,0,,
A+,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7210,110017 A400,110017,100,100,,0,100,100
B,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7187,110017 B400,110017,100,75,,0,83,100
A-,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7204,110017 C400,110017,33,,97,0,92,100
A-,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7243,110017 D430,110017,100,87,,0,91,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7490,110017 H144,110017,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7490,110017 H144,110017,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110017 I199,110017,100,,,0,,100
NO GRADE,SI- Basketball & Athletic Leadership (Semester 2),I1031,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7216,110017 I1031,110017,100,,,0,,100
P,SI- Evolution of Music,I1074,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7893,110017 I1074,110017,100,100,,0,100,100
B,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7222,110021 A400,110021,0,89,,0,83,100
I,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[X] Ovrdue Proj?[_],I,7311,110021 B400,110021,0,52,,0,47,50
I,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[X] Ovrdue Proj?[X],I,7185,110021 C400,110021,0,,59,1,41,0
I,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7202,110021 D430,110021,0,71,,0,65,71
I,SI-Spanish 2,E200,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7290,110021 E200,110021,0,,,0,54,33
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7487,110021 H144,110021,,,,0,,
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110021 I199,110021,100,,,0,,100
P,Hip Hop and Movement,I1026,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A+,7914,110021 I1026,110021,100,100,,0,100,100
NO GRADE,Exploring Computer Science,I1044,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7902,110021 I1044,110021,100,,,0,,100
I,SI-Bridge to College,S4100,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7652,110021 S4100,110021,100,96,78,0,83,75
I,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7193,110022 A400,110022,0,70,,0,53,20
I,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[X],I,7186,110022 B400,110022,0,,,2,,50
I,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[X],I,7199,110022 C400,110022,0,,,2,,0
I,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[X] Ovrdue Proj?[_],I,7238,110022 D430,110022,0,67,,0,53,28
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7487,110022 H144,110022,,,,0,,
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110022 I199,110022,100,,,0,,100
NO GRADE,SI- Basketball & Athletic Leadership (Semester 2),I1031,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7266,110022 I1031,110022,100,,,0,,100
NP,SI-Basketball & Athletic Leadership,I1031,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[X],I,7915,110022 I1031,110022,100,93,,2,93,100
I,WA History- Sierra ,S5000,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7777,110022 S5000,110022,100,,,0,,0
NP,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7776,110024 I199,110024,100,,,0,,0
A,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A,7285,110026 A400,110026,100,91,,0,94,100
A-,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7186,110026 B400,110026,100,85,,0,90,100
B,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7185,110026 C400,110026,33,,88,0,86,100
B,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7247,110026 D430,110026,16,86,,0,83,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7474,110026 H144,110026,,,,0,,
NO GRADE,SI-Yoga (E),I1047,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7907,110026 I1047,110026,,,,0,,
NO GRADE,Strength and Fitness SI,I1064,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7903,110026 I1064,110026,100,,,0,,100
I,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7285,110028 A400,110028,100,100,,0,92,60
B,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B,7186,110028 B400,110028,100,78,,0,85,100
I,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[X] Proj Score?[_] Ovrdue Proj?[_],I,7241,110028 C400,110028,33,,82,0,74,66
A-,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],A-,7247,110028 D430,110028,100,86,,0,90,100
I,AP Computer Science Principles,G104,1/15/2019 12:00:00 AM,a_f_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[X],I,7255,110028 G104,110028,100,93,,1,93,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7522,110028 H144,110028,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7522,110028 H144,110028,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110028 I199,110028,100,,,0,,100
NO GRADE,Strength and Fitness SI,I1064,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7895,110028 I1064,110028,100,,,0,,100
C,SI-AP Government,A400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],C,7193,110030 A400,110030,0,78,,0,76,100
I,SI-AP English Literature,B400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[X] Ovrdue Proj?[_],I,7187,110030 B400,110030,0,60,,0,63,100
B+,SI-AP Calculus,C400,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],B+,7185,110030 C400,110030,33,,93,0,89,100
I,SI-AP Environmental Science,D430,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[X],I,7247,110030 D430,110030,66,81,,1,84,100
NO GRADE,Mentor,H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],,7490,110030 H144,110030,,,,0,,
NO GRADE,SI-College Readiness (2019),H144,1/15/2019 12:00:00 AM,project,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7490,110030 H144,110030,100,,,0,,100
NO GRADE,Health (WA),I199,1/15/2019 12:00:00 AM,pnp_elec,PFA?[_] Proj Score?[_] Ovrdue Proj?[_],N/A,7776,110030 I199,110030,100,,,0,,100
